datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name,year,month,day,dayofweek,is_weekend,total_sales,total_sales_lag_1,total_sales_lag_7,total_sales_lag_30,rolling_mean_7,rolling_std_7
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,276,0.0,2014,2,1,5,1,84.65,47.68,81.8,48.47,51.91571428571428,15.821376738601538
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,276,0.0,2014,2,2,6,1,39.7,84.65,34.01,107.0,52.32285714285715,16.72920770617038
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,276,0.0,2014,2,3,0,0,64.9,39.7,56.81,91.35,53.135714285714286,15.803738858408218
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,276,0.0,2014,2,4,1,0,69.93,64.9,58.52,66.1,54.29142857142857,16.40171376063228
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,276,0.0,2014,2,5,2,0,63.62,69.93,39.33,58.2,55.92142857142858,17.426909678780717
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,276,0.0,2014,2,6,3,0,80.91,63.62,45.26,0.0,59.39142857142857,15.926337127089656
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,0.0,2014,2,7,4,0,64.43,80.91,47.68,75.22999999999999,64.48428571428572,16.348703166859917
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,0.0,2014,2,8,5,1,74.18,64.43,84.65,62.68,66.87714285714286,14.612888961787265
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,276,0.0,2014,2,9,6,1,56.5,74.18,39.7,81.3,65.38142857142857,12.929399868222081
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,0.0,2014,2,10,0,0,90.93,56.5,64.9,87.24,67.78142857142858,7.979560197929537
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,0.0,2014,2,11,1,0,105.09,90.93,69.93,27.16,71.50000000000001,11.639011985559621
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,0.0,2014,2,12,2,0,107.36999999999999,105.09,63.62,90.2,76.52285714285715,17.13679833407798
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,276,0.0,2014,2,13,3,0,84.1,107.36999999999999,80.91,62.330000000000005,82.77285714285715,19.46639901153244
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,276,0.0,2014,2,14,4,0,76.50999999999999,84.1,64.43,58.04,83.22857142857143,19.452855341887005
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,276,0.0,2014,2,15,5,1,57.34,76.50999999999999,74.18,65.6,84.95428571428572,17.987902283797002
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,276,0.0,2014,2,16,6,1,47.88,57.34,56.5,58.379999999999995,82.54857142857144,20.60476921214395
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,0.0,2014,2,17,0,0,72.03999999999999,47.88,90.93,83.33,81.31714285714285,22.58357051360254
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,276,0.0,2014,2,18,1,0,97.8,72.03999999999999,105.09,32.43,78.61857142857141,22.37106868894992
